College Name,Code
"A. P. Shah Institute of Technology, Thane",3475
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",6318
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",2146
"Aditya Engineering College , Beed",2136
"Adsul's Technical Campus, Chas Dist. Ahmednagar",5380
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",3197
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",5382
Ajeenkya DY Patil School of Engineering,6732
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",6183
"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",6325
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",3218
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",6278
"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",6282
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur",4135
"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",5184
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",5162
"Anantrao Pawar College of Engineering & Research, Pune",6794
"Anjuman College of Engineering & Technology, Nagpur",4172
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",3439
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",3183
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",4142
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",4116
"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",6283
"Atharva College of Engineering,Malad(West),Mumbai",3203
"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad",2250
"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",3436
"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",6289
"Bajaj Institute of Technology, Wardha",4649
"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",6273
"Bapurao Deshmukh College of Engineering, Sevagram",4118
"Bhagwant Institute of Technology, Barshi",6781
"Bharat College of Engineering, Kanhor, Badlapur(W)",3351
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",3189
"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",6285
"Bharati Vidyapeeth's College of Engineering, Kolhapur",6288
"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",6796
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",3215
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",5130
COEP Technological University,6006
"CSMSS Chh. Shahu College of Engineering, Aurangabad",2533
"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",3477
"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",5396
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",4304
"D.Y. Patil College of Engineering and Technology, Kolhapur",6250
"D.Y.Patil Education Society's,D.Y. Patil Technical Campus , Faculty of Engineering & Faculty of Management, Talsande ,Kolhapur.",6780
"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",6222
"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",6628
"Deogiri Institute of Engineering and Management Studies, Aurangabad",2114
"Department of Technology, Shivaji University, Kolhapur",6028
"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",6307
"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",3353
"Dnyanshree Institute Engineering and Technology, Satara",6797
"Don Bosco Institute of Technology, Mumbai",3208
"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",6878
"Dr. Ashok Gujar Technical Institute's  Dr. Daulatrao Aher College of Engineering, Karad",6303
"Dr. Babasaheb Ambedkar Technological University, Lonere",3033
"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",6839
"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",6272
"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune",6207
"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",6802
"Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",6277
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",5161
"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",6834
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",1123
